Gender;Age;Education_level;Employment_status;Income_group;Country;Household_members_number;Number_vehicles_household;Car_sharing_;Leisure_trips_number;Plan_to_purchase_vehicle;buy_electric
2;48;3;2;6;1;4;1;2;1;4;0
2;39;3;1;2;1;2;2;2;0;3;1
1;48;1;1;3;1;1;1;2;1;2;1
1;19;4;4;3;1;4;4;2;1;3;1
1;33;3;1;4;1;3;1;1;0;4;1
1;31;3;1;3;1;5;4;3;3;5;0
2;63;3;1;4;1;1;1;2;0;4;0
1;20;3;1;3;1;4;4;2;9;2;1
2;36;2;2;3;1;3;1;3;2;4;0
2;31;3;2;3;1;3;3;2;1;4;0
2;33;4;6;4;1;4;1;2;2;3;1
2;60;4;3;5;1;3;1;2;1;5;0
1;36;3;1;3;1;1;1;2;4;4;0
1;30;4;3;4;1;4;2;2;1;2;1
1;56;2;1;4;1;1;1;2;0;4;0
1;35;2;1;2;1;2;2;2;2;4;1
2;51;3;1;4;1;3;1;2;0;3;1
2;48;3;2;2;1;4;1;2;5;1;1
2;62;4;1;3;1;2;2;2;8;5;0
1;35;4;1;3;1;4;3;2;4;4;0
2;23;3;4;5;1;2;0;2;3;2;0
1;54;1;5;5;1;1;1;2;2;5;1
1;48;2;3;5;1;1;1;2;3;5;0
1;44;2;3;5;1;1;2;2;0;4;0
1;27;4;1;3;1;3;1;2;7;3;0
1;48;2;1;3;1;2;1;2;0;2;1
1;48;4;1;3;1;4;1;1;25;1;1
2;46;3;1;2;1;2;1;3;1;3;1
2;23;4;4;3;1;3;1;2;5;3;1
1;36;2;1;3;1;4;2;2;1;2;1
2;33;4;1;3;1;5;1;2;0;3;0
2;30;2;4;4;1;1;0;2;0;4;1
1;32;3;1;3;1;2;1;2;0;3;0
1;38;4;1;2;1;3;1;2;5;4;1
1;47;3;1;5;1;4;1;2;2;1;0
2;59;4;7;6;1;1;0;2;7;5;1
2;56;2;2;3;1;2;1;2;0;3;0
2;62;4;5;3;1;1;1;2;6;2;0
1;55;4;1;3;1;3;3;2;20;3;1
2;38;4;2;3;1;4;2;2;3;3;0
2;59;1;5;3;1;2;2;2;2;5;0
2;65;4;5;4;1;1;1;2;1;3;0
1;53;2;1;5;1;3;2;2;2;4;1
2;42;3;2;3;1;5;2;2;4;1;1
2;48;2;2;4;1;3;2;2;0;4;0
1;51;3;1;4;1;5;1;2;0;2;0
2;44;2;1;3;1;2;2;2;2;4;0
2;22;3;2;3;1;2;1;2;5;1;0
1;56;4;1;4;1;2;2;2;3;3;1
1;34;1;1;3;1;1;1;2;0;5;0
2;32;3;1;3;1;2;2;2;0;1;1
2;61;3;1;3;1;2;1;2;2;4;1
1;51;1;1;3;1;2;3;2;5;2;0
2;41;4;1;3;1;3;2;2;2;3;1
1;35;4;1;2;1;3;1;2;1;3;1
2;34;2;2;3;1;2;2;2;3;2;1
1;18;2;4;3;1;4;3;2;2;1;0
1;44;3;1;3;1;2;1;2;2;2;0
2;33;3;2;3;1;2;2;2;1;3;1
2;37;4;1;4;1;2;0;2;1;3;0
2;18;3;4;2;1;3;2;2;2;3;0
1;49;3;1;3;1;3;2;2;4;1;1
2;48;1;1;4;1;2;1;2;0;4;0
1;37;3;1;4;1;2;1;2;2;2;1
1;43;1;3;5;1;3;1;2;1;4;0
1;21;3;2;4;1;2;0;1;2;3;0
2;37;3;2;5;1;4;1;2;0;2;1
2;20;4;1;3;1;2;3;2;14;4;1
2;33;4;1;2;1;4;2;2;12;2;1
1;58;2;2;3;1;4;3;2;3;3;1
2;61;3;5;3;1;1;1;2;3;3;0
1;38;3;1;4;1;3;0;2;0;4;0
1;20;2;1;3;1;5;2;2;1;4;0
1;36;4;1;2;1;4;1;2;2;4;1
1;55;4;1;2;1;3;2;2;4;3;1
1;34;3;1;3;1;4;2;2;40;3;0
1;49;2;1;4;1;2;1;2;1;4;0
1;50;3;1;3;1;2;2;2;1;2;1
1;25;3;1;3;1;4;4;2;10;3;0
1;50;1;1;4;1;1;1;2;0;4;0
1;44;2;1;3;1;3;2;2;0;3;0
1;39;3;1;3;1;4;1;2;1;3;0
1;23;3;4;6;1;1;1;2;6;1;0
2;24;4;4;5;1;2;1;2;3;3;1
1;48;4;1;3;1;2;2;2;2;3;1
2;34;2;1;5;1;1;2;2;2;3;0
2;35;4;1;2;1;3;2;2;3;3;1
1;39;3;1;3;1;3;3;2;10;3;1
1;64;2;5;3;1;2;1;2;4;5;0
2;59;3;5;2;1;3;2;2;3;4;0
2;21;3;2;3;1;4;2;2;0;4;0
2;35;4;1;3;1;2;1;3;4;2;1
1;27;3;1;2;1;4;3;2;3;4;1
1;57;2;1;3;1;2;3;2;2;5;0
1;28;4;2;4;1;2;1;2;1;3;0
2;21;3;1;3;1;4;2;2;3;4;0
2;42;4;2;6;1;3;1;2;20;1;0
2;60;2;5;5;1;1;1;2;2;3;1
2;43;3;1;3;1;4;2;1;1;2;0
